marker_id,marker_sta,marker_url,marker_addr,marker_lat,marker_lng
S19,瑞江駅,http://www.kotsu.metro.tokyo.jp/subway/stations/mizue/s19.html,東京都江戸川区瑞江2-2-1,35.693321,139.897612
S20,篠崎駅,http://www.kotsu.metro.tokyo.jp/subway/stations/shinozaki/s20.html,東京都江戸川区篠崎町7-27-1,35.706016,139.903698
S10,浜町駅,http://www.kotsu.metro.tokyo.jp/subway/stations/hamacho/s10.html,東京都中央区日本橋浜町2-59-3,35.688514,139.788156
S11,森下駅,http://www.kotsu.metro.tokyo.jp/subway/stations/morishita/s11.html,東京都江東区森下1-13-10,35.68796,139.797045
S12,菊川駅,http://www.kotsu.metro.tokyo.jp/subway/stations/kikukawa/s12.html,東京都墨田区菊川3-16-2,35.688383,139.806014
S13,住吉駅,http://www.kotsu.metro.tokyo.jp/subway/stations/sumiyoshi/s13.html,東京都江東区住吉2-23-12,35.689069,139.815651
S14,西大島駅,http://www.kotsu.metro.tokyo.jp/subway/stations/nishi-ojima/s14.html,東京都江東区大島2-41-19,35.689346,139.826211
S15,大島駅,http://www.kotsu.metro.tokyo.jp/subway/stations/ojima/s15.html,東京都江東区大島5-10-8,35.689912,139.83565
S07,小川町駅,http://www.kotsu.metro.tokyo.jp/subway/stations/ogawamachi/s07.html,東京都千代田区神田小川町1-6,35.695232,139.767463
S08,岩本町駅,http://www.kotsu.metro.tokyo.jp/subway/stations/iwamotocho/s08.html,東京都千代田区神田岩本町1,35.695541,139.775872
S03,曙橋駅,http://www.kotsu.metro.tokyo.jp/subway/stations/akebonobashi/s03.html,東京都新宿区住吉町7-1,35.692406,139.722877
,武蔵小山駅,,,35.620622,139.704523
,池尻大橋駅,,,35.650644,139.684557
,駒澤大学駅,,,35.633107,139.661734
,桜新町駅,,,35.632253,139.644714
,用賀駅,,,35.626451,139.633852
,調布駅,,,35.651901,139.544428
,八王子駅,,,35.657005,139.344573
,六町駅,,,35.783791,139.821505
,天王洲アイル駅,,,35.61976,139.750933
,東京テレポート駅,,,35.627536,139.778819
,泉岳寺駅,,,35.637874,139.739064
,赤羽岩淵駅,,,35.783448,139.721876
CHIKA0,アーツ千代田3331,,,35.70421465,139.7708313
CHIKA1,あいとぴあセンター,,,35.63330049,139.5677764
CHIKA2,いきいきプラザ一番町,,,35.68706053,139.7394928
CHIKA3,ケアハウス松が谷,,,35.71745803,139.7876655
CHIKA4,こまえ苑,,,35.62914242,139.5892181
CHIKA5,シニア活動支援センター,,,35.74385408,139.8543754
CHIKA6,スポーツセンター,,,35.68919125,139.7675627
CHIKA7,たましんRISURUホール(市民会館),,,35.69342034,139.4200365
CHIKA8,ちよだパークサイドプラザ(和泉小学校),,,35.6993,139.7785
CHIKA9,みなとパーク芝浦(港区スポーツセンター・男女平等参画センター),,,35.64663724,139.7514242
CHIKA10,やすらぎミラージュデイサービスセンター,,,35.7627145,139.5974631
CHIKA11,井口コミュニティ・センター,,,35.69349043,139.5485228
CHIKA12,羽衣中央会館,,,35.69414549,139.4285747
CHIKA13,下保谷福祉会館,,,35.75050667,139.5650191
CHIKA14,学校法人武蔵野大学,,,35.7182376,139.5469359
CHIKA15,葛飾区立一之台中学校,,,35.76422357,139.8378593
CHIKA16,関町デイサービスセンター,,,35.722149,139.5741139
CHIKA17,岩戸地域センター,,,35.63215667,139.5861082
CHIKA18,岩本町ほほえみプラザ,,,35.69453257,139.7778589
CHIKA19,京華スクエア,,,35.67489582,139.7753682
CHIKA20,九段小学校,,,35.69057927,139.7408205
CHIKA21,五日市ファインプラザ,,,35.72930636,139.2553019
CHIKA22,五日市地域交流センター,,,35.72935264,139.2199188
CHIKA23,光陽苑デイサービスセンター,,,35.75673665,139.5696046
CHIKA24,光陽苑デイサービスセンター(認知症専用),,,35.75673665,139.5696046
CHIKA25,江戸川区立小松川第二中学校,,,35.6978,139.8528
CHIKA26,江東区古石場文化センター,,,35.66694458,139.7992415
CHIKA27,江東区江東公会堂(ティアラこうとう),,,35.68844271,139.8194806
CHIKA28,江東区森下文化センター,,,35.68516917,139.8022294
CHIKA29,江東区深川スポーツセンター,,,35.6704412,139.7916753
CHIKA30,江東区男女共同参画推進センター,,,35.68412932,139.8201696
CHIKA31,江東区豊洲シビックセンター,,,35.65421812,139.7952924
CHIKA32,麹町小学校,,,35.68086017,139.7669426
CHIKA33,国分寺市ひかりプラザ,,,35.70270607,139.4447535
CHIKA34,国分寺市立光公民館・図書館,,,35.70781934,139.4431895
CHIKA35,国分寺市立福祉センター,,,35.708,139.4557
CHIKA36,国分寺市立本多公民館・図書館,,,35.70535677,139.4823752
CHIKA37,砂川学習館,,,35.72286658,139.4031201
CHIKA38,鷺宮・スポーツコミュニティプラザ,,,35.72246452,139.6364281
CHIKA39,三鷹駅前コミュニティ・センター,,,35.69955125,139.5630519
CHIKA40,三鷹市立第三中学校校舎及び体育館,,,35.6917469,139.5755373
CHIKA41,三鷹市立第七小学校校舎及び体育館,,,35.69279901,139.5548251
CHIKA42,産業振興センター,,,35.7043063,139.6680484
CHIKA43,柴崎学習館,,,35.69471155,139.4080681
CHIKA44,秋川体育館,,,35.73040193,139.3022395
CHIKA45,十思スクエア,,,35.69095239,139.7770008
CHIKA46,渋谷区あやめの苑・代々木,,,35.6825622,139.6931277
CHIKA47,渋谷区けやきの苑・西原,,,35.67407667,139.679518
CHIKA48,渋谷区つばめの里・本町東,,,35.687582,139.682109
CHIKA49,渋谷区ひがし健康プラザ,,,35.65089676,139.7097386
CHIKA50,渋谷区高齢者ケアセンター,,,35.66432834,139.7007361
CHIKA51,渋谷区商工会館・消費者センター,,,35.66039831,139.7037638
CHIKA52,渋谷区生活実習所つばさ,,,35.67941754,139.6720046
CHIKA53,渋谷区総合ケアコミュニティ・せせらぎ,,,35.67531549,139.6818928
CHIKA54,渋谷区美竹の丘・しぶや,,,35.66183705,139.7045525
CHIKA55,渋谷区文化総合センター大和田,,,35.65551542,139.6999615
CHIKA56,渋谷区立広尾小学校,,,35.65180505,139.7120578
CHIKA57,渋谷区立渋谷本町学園,,,35.68603373,139.6819646
CHIKA58,渋谷区立常磐松小学校,,,35.65566568,139.7103467
CHIKA59,渋谷区立神南小学校,,,35.66337558,139.6974114
CHIKA60,渋谷区立西原小学校,,,35.67402943,139.678582
CHIKA61,渋谷区立幡代小学校,,,35.67917623,139.6841786
CHIKA62,昌平童夢館(昌平小学校),,,35.70122327,139.7697926
CHIKA63,松が丘シニアプラザ,,,35.72119062,139.6721168
CHIKA64,障害者福祉会館,,,35.72359844,139.6630397
CHIKA65,新川中原コミュニティ・センター,,,35.66886893,139.5758604
CHIKA66,神田さくら館(千代田小学校),,,35.69317969,139.7683931
CHIKA67,神田一橋中学校,,,35.6941848,139.7567745
CHIKA68,杉並区立井草地域区民センター,,,35.72073085,139.6165243
CHIKA69,杉並区立永福和泉地域区民センター,,,35.67562005,139.6459236
CHIKA70,杉並区立荻窪地域区民センター,,,35.69853064,139.6190194
CHIKA71,杉並区立高円寺地域区民センター,,,35.6971,139.6541
CHIKA72,杉並区立西荻地域区民センター,,,35.71255639,139.6022286
CHIKA73,世田谷区立松沢小学校,,,35.66546823,139.6392857
CHIKA74,世田谷区立代沢小学校,,,35.6550383,139.667174
CHIKA75,清瀬市けやきホール,,,35.77469162,139.519572
CHIKA76,清瀬市松山地域市民センター,,,35.77100024,139.5147698
CHIKA77,清瀬市消費生活センター,,,35.7744139,139.5206664
CHIKA78,西河原公民館,,,35.63330049,139.5677764
CHIKA79,西砂保育園,,,35.7296687,139.3646902
CHIKA80,西東京市コール田無,,,35.72917795,139.5436662
CHIKA81,西東京市田無総合福祉センター,,,35.73181079,139.5362084
CHIKA82,西東京市立青嵐中学校,,,35.75650299,139.5564085
CHIKA83,青梅市文化交流センター,,,35.79023,139.25496
CHIKA84,総合福祉センター,,,35.70129953,139.4018017
CHIKA85,足立区総合スポーツセンター,,,35.79216977,139.8136686
CHIKA86,台東一丁目区民館,,,35.70188174,139.7778391
CHIKA87,大泉デイサービスセンター,,,35.75103245,139.5961581
CHIKA88,大泉デイサービスセンター(認知症専用),,,35.75103245,139.5961581
CHIKA89,大沢コミュニティ・センター,,,35.66869014,139.5372387
CHIKA90,第3育秀苑デイサービスセンター(認知症専用),,,35.7660369,139.6180168
CHIKA91,第二光陽苑デイサービスセンター,,,35.73250888,139.5718221
CHIKA92,第二光陽苑デイサービスセンター(認知症専用),,,35.73250888,139.5718221
CHIKA93,中央区立月島社会教育会館晴海分館アートはるみ,,,35.65885345,139.7855374
CHIKA94,中央区立晴海中学校,,,35.65969779,139.7849208
CHIKA95,中央区立日本橋社会教育会館,,,35.68467822,139.781409
CHIKA96,中央区立日本橋小学校,,,35.68467822,139.781409
CHIKA97,中央公民館,,,35.63491449,139.5787337
CHIKA98,中野区立みずの塔ふれあいの家,,,35.72549295,139.6735387
CHIKA99,中野区立第二中学校,,,35.69262714,139.6710791
CHIKA100,中野区立谷戸小学校,,,35.70244564,139.6771393
CHIKA101,田柄デイサービスセンター,,,35.76289051,139.6358043
CHIKA102,東大和市民体育館,,,35.73582831,139.4215403
CHIKA103,特別養護老人ホームたちばなホーム,,,35.70533562,139.8331149
CHIKA104,特別養護老人ホームなりひらホーム,,,35.7070628,139.8180077
CHIKA105,特別養護老人ホーム育秀苑,,,35.74291306,139.6677107
CHIKA106,特別養護老人ホーム三ノ輪,,,35.72927905,139.7921924
CHIKA107,特別養護老人ホーム上石神井幸朋苑,,,35.7274139,139.6006806
CHIKA108,特別養護老人ホーム浅草,,,35.71911078,139.7933566
CHIKA109,特別養護老人ホーム蔵前,,,35.7036875,139.7929545
CHIKA110,特別養護老人ホーム台東(台東一丁目区民館と併設),,,35.70188174,139.7778391
CHIKA111,特別養護老人ホーム谷中,,,35.72405389,139.7643255
CHIKA112,南町スポーツ・文化交流センター「きらっと」,,,35.72565,139.5375
CHIKA113,南部すこやか福祉センター等,,,35.688132,139.668408
CHIKA114,板橋区立徳丸福祉園,,,35.77560907,139.6563909
CHIKA115,番町小学校,,,35.68820988,139.7340101
CHIKA116,氷川コミュニティセンター,,,35.8076961,139.0969901
CHIKA117,品川区立伊藤学園,,,35.60002791,139.726081
CHIKA118,品川区立荏原第五中学校,,,35.60315747,139.7021023
CHIKA119,品川区立荏原平塚学園,,,35.61537298,139.7100123
CHIKA120,品川区立戸越台中学校,,,35.6157537,139.7176644
CHIKA121,品川区立小山小学校,,,35.61600328,139.7032489
CHIKA122,品川区立城南小学校,,,35.61332964,139.7427457
CHIKA123,品川区立総合区民会館(きゅりあん),,,35.60616637,139.7358604
CHIKA124,品川区立総合体育館,,,35.62418081,139.7282631
CHIKA125,品川区立日野学園,,,35.62455577,139.7283242
CHIKA126,品川区立立会小学校,,,35.60446946,139.7401907
CHIKA127,富士見台デイサービスセンター,,,35.733349,139.6211317
CHIKA128,富士見台デイサービスセンター(認知症専用),,,35.733349,139.6211317
CHIKA129,府中市市民会館,,,35.67636841,139.4840595
CHIKA130,府中市生涯学習センター,,,35.6784574,139.4964223
CHIKA131,府中市立総合体育館,,,35.65587329,139.4762055
CHIKA132,府中市立府中第五中学校体育館,,,35.68588147,139.4928418
CHIKA133,府中市立府中第三中学校体育館,,,35.66489429,139.4684474
CHIKA134,府中市立府中第四中学校体育館,,,35.6732988,139.4647808
CHIKA135,府中市立府中第七中学校体育館,,,35.68924694,139.4623748
CHIKA136,府中市立府中第二中学校体育館,,,35.67235008,139.5088993
CHIKA137,府中市立府中第六中学校体育館,,,35.66052637,139.507211
CHIKA138,福祉コアかみれん,,,35.69707679,139.5589399
CHIKA139,文京区立音羽中学校,,,35.7172248,139.7328312
CHIKA140,文京区立金富小学校,,,35.71083254,139.7416196
CHIKA141,文京区立窪町小学校,,,35.71907591,139.7360448
CHIKA142,文京区立汐見小学校,,,35.72353996,139.7608342
CHIKA143,文京区立小日向台町小学校,,,35.71321545,139.7356367
CHIKA144,文京区立昭和小学校,,,35.73171095,139.7491126
CHIKA145,文京区立誠之小学校,,,35.71784597,139.7539239
CHIKA146,文京区立第一中学校,,,35.71801499,139.7386835
CHIKA147,文京区立第三中学校,,,35.70915231,139.746672
CHIKA148,文京区立第六中学校,,,35.71675453,139.7577375
CHIKA149,文京区立湯島小学校,,,35.70658925,139.7666455
CHIKA150,文京区立本郷小学校,,,35.7080944,139.7581517
CHIKA151,文京区立明化小学校,,,35.72495882,139.7448493
CHIKA152,文京区立茗台中学校,,,35.7134128,139.7412946
CHIKA153,文京江戸川橋体育館,,,35.71039909,139.7355313
CHIKA154,片町文化センター,,,35.670652,139.4693805
CHIKA155,宝仙学園中学高等学校,,,35.69885447,139.6804503
CHIKA156,豊玉南しあわせの里デイサービスセンター,,,35.72868097,139.654418
CHIKA157,豊島区立駒込小学校,,,35.7385128,139.7432239
CHIKA158,豊島区立駒込生活実習所,,,35.73497984,139.742363
CHIKA159,豊島区立駒込福祉作業所,,,35.73497984,139.742363
CHIKA160,豊島区立南池袋小学校,,,35.72439141,139.7147769
CHIKA161,牟礼コミュニティ・センター,,,35.68493098,139.5747571
CHIKA162,練馬区立光が丘デイサービスセンター,,,35.75948795,139.6295883
CHIKA163,練馬区立豊玉デイサービスセンター,,,35.72764771,139.6526404
CHIKA164,連雀コミュニティ・センター,,,35.69247421,139.5609579
CHIKA165,老人デイサービスセンター土支田創生苑,,,35.75958463,139.609865
